[2025-10-02 11:31:56] Path: /, User: Anonymous
[2025-10-02 11:31:57] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:06] Path: /Courses, User: Anonymous
[2025-10-02 11:32:11] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:13] Path: /Departments, User: Anonymous
[2025-10-02 11:32:13] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:15] Path: /Departments, User: Anonymous
[2025-10-02 11:32:16] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:16] Path: /Courses, User: Anonymous
[2025-10-02 11:32:16] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:17] Path: /Students, User: Anonymous
[2025-10-02 11:32:17] Path: /Account/Login, User: Anonymous
[2025-10-02 11:32:22] Path: /Account/Login, User: Anonymous
[2025-10-02 11:32:23] Path: /Account/Login, User: Anonymous
[2025-10-02 11:32:23] Path: /Account/Login, User: Anonymous
[2025-10-02 11:32:26] Path: /Instructors, User: Anonymous
[2025-10-02 11:32:26] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:29] Path: /CourseStudents, User: Anonymous
[2025-10-02 11:32:29] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:31] Path: /Courses, User: Anonymous
[2025-10-02 11:32:31] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:31] Path: /Departments, User: Anonymous
[2025-10-02 11:32:32] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:34] Path: /Courses, User: Anonymous
[2025-10-02 11:32:34] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:34] Path: /Instructors, User: Anonymous
[2025-10-02 11:32:34] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:35] Path: /CourseStudents, User: Anonymous
[2025-10-02 11:32:35] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:35] Path: /Departments, User: Anonymous
[2025-10-02 11:32:35] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:38] Path: /Courses, User: Anonymous
[2025-10-02 11:32:39] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:39] Path: /Instructors, User: Anonymous
[2025-10-02 11:32:40] Path: /css/site.css, User: Anonymous
[2025-10-02 11:32:40] Path: /CourseStudents, User: Anonymous
[2025-10-02 11:32:40] Path: /css/site.css, User: Anonymous
[2025-10-02 11:34:33] Path: /, User: Anonymous
[2025-10-02 11:34:33] Path: /css/site.css, User: Anonymous
[2025-10-02 11:34:34] Path: /Students, User: Anonymous
[2025-10-02 11:34:35] Path: /Account/Login, User: Anonymous
[2025-10-02 11:34:41] Path: /Students, User: Anonymous
[2025-10-02 11:34:41] Path: /Account/Login, User: Anonymous
[2025-10-02 12:08:19] Path: /, User: Anonymous
[2025-10-02 12:08:24] Path: /css/site.css, User: Anonymous
[2025-10-02 12:08:28] Path: /Courses, User: Anonymous
[2025-10-02 12:08:35] Path: /css/site.css, User: Anonymous
[2025-10-02 12:08:36] Path: /Departments, User: Anonymous
[2025-10-02 12:08:37] Path: /css/site.css, User: Anonymous
[2025-10-02 12:08:38] Path: /Courses, User: Anonymous
[2025-10-02 12:08:39] Path: /css/site.css, User: Anonymous
[2025-10-02 12:08:40] Path: /Instructors, User: Anonymous
[2025-10-02 12:08:40] Path: /css/site.css, User: Anonymous
[2025-10-02 12:08:41] Path: /CourseStudents, User: Anonymous
[2025-10-02 12:08:41] Path: /css/site.css, User: Anonymous
[2025-10-02 12:08:45] Path: /Departments, User: Anonymous
[2025-10-02 12:08:45] Path: /css/site.css, User: Anonymous
[2025-10-02 12:08:50] Path: /Students, User: Anonymous
[2025-10-02 12:08:50] Path: /Account/Login, User: Anonymous
[2025-10-02 12:12:33] Path: /, User: Anonymous
[2025-10-02 12:12:34] Path: /css/site.css, User: Anonymous
[2025-10-02 12:12:35] Path: /Students, User: Anonymous
[2025-10-02 12:12:35] Path: /Account/Login, User: Anonymous
[2025-10-02 12:12:36] Path: /css/site.css, User: Anonymous
[2025-10-02 12:12:39] Path: /Instructors, User: Anonymous
[2025-10-02 12:12:41] Path: /CourseStudents, User: Anonymous
[2025-10-02 12:12:41] Path: /css/site.css, User: Anonymous
[2025-10-02 12:12:42] Path: /Courses, User: Anonymous
[2025-10-02 12:12:42] Path: /css/site.css, User: Anonymous
[2025-10-02 12:12:43] Path: /Students, User: Anonymous
[2025-10-02 12:12:43] Path: /Account/Login, User: Anonymous
[2025-10-02 12:12:43] Path: /css/site.css, User: Anonymous
[2025-10-02 12:12:44] Path: /Courses, User: Anonymous
[2025-10-02 12:12:44] Path: /css/site.css, User: Anonymous
[2025-10-02 12:12:45] Path: /Departments, User: Anonymous
[2025-10-02 12:12:45] Path: /css/site.css, User: Anonymous
[2025-10-02 12:12:47] Path: /Students, User: Anonymous
[2025-10-02 12:12:47] Path: /Account/Login, User: Anonymous
[2025-10-02 12:12:47] Path: /css/site.css, User: Anonymous
[2025-10-02 12:20:46] Path: /, User: Anonymous
[2025-10-02 12:20:49] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:00] Path: /CourseStudents, User: Anonymous
[2025-10-02 12:21:07] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:09] Path: /CourseStudents/Create, User: Anonymous
[2025-10-02 12:21:10] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:15] Path: /Departments, User: Anonymous
[2025-10-02 12:21:16] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:16] Path: /Courses, User: Anonymous
[2025-10-02 12:21:17] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:18] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:21:18] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:30] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:21:30] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:34] Path: /Courses, User: Anonymous
[2025-10-02 12:21:34] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:35] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:21:35] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:45] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:21:45] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:47] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:21:47] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:48] Path: /Courses, User: Anonymous
[2025-10-02 12:21:48] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:51] Path: /Courses, User: Anonymous
[2025-10-02 12:21:51] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:51] Path: /Departments, User: Anonymous
[2025-10-02 12:21:51] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:52] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:21:52] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:59] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:22:00] Path: /Departments, User: Anonymous
[2025-10-02 12:22:01] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:03] Path: /Departments/Details/1, User: Anonymous
[2025-10-02 12:22:04] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:06] Path: /Departments, User: Anonymous
[2025-10-02 12:22:06] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:07] Path: /Departments/Edit/1, User: Anonymous
[2025-10-02 12:22:07] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:08] Path: /Departments, User: Anonymous
[2025-10-02 12:22:08] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:09] Path: /Departments/Edit/1, User: Anonymous
[2025-10-02 12:22:09] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:12] Path: /Departments/Edit/1, User: Anonymous
[2025-10-02 12:22:12] Path: /Departments, User: Anonymous
[2025-10-02 12:22:12] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:14] Path: /Departments/Delete/1, User: Anonymous
[2025-10-02 12:22:14] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:15] Path: /Departments/Delete/1, User: Anonymous
[2025-10-02 12:22:16] Path: /Departments, User: Anonymous
